food_name,calories_kcal,protein_g,carbs_g,fat_g,sodium_mg,sugar_g,calorie_density,protein_ratio,carbs_ratio,fats_ratio,sugar_ratio
"EGG,WHITE,RAW,FROZEN",47.0,9.8,1.05,0.0,158.0,0.0,0.47,20.85106338614759,2.2340425056586706,0.0,0.0
"EGG,WHITE,DRIED",382.0,81.1,7.8,0.0,1280.0,0.0,3.82,21.23036643656972,2.0418848114086785,0.0,0.0
"MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D",50.0,3.3,4.8,1.98,47.0,0.0,0.5,6.599999868000003,9.599999808000003,3.959999920800002,0.0
"MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D",42.0,3.37,4.99,0.97,44.0,0.0,0.42,8.023809332766445,11.88095209807257,2.3095237545351486,0.0
"SOUR CREAM,REDUCED FAT",181.0,7.0,7.0,14.1,70.0,0.0,1.81,3.8674032935502582,3.8674032935502582,7.790055205579806,0.0
"SOUR CREAM,LIGHT",138.0,3.5,7.1,10.6,71.0,0.0,1.38,2.5362318656794796,5.144927498949801,7.68115936462928,0.0
"SOUR CREAM,FAT FREE",74.0,3.1,15.6,0.0,141.0,0.0,0.74,4.189189132578526,21.08108079620161,0.0,0.0
"USDA COMMODITY,CHS,CHEDDAR,RED FAT",282.0,27.2,2.0,18.3,725.0,0.0,2.82,9.645390036718474,0.7092198556410644,6.489361679115739,0.0
"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",43.0,3.86,7.5,0.18,59.0,0.0,0.43,8.976743977285025,17.441860059491628,0.418604641427799,0.0
"PARMESAN CHS TOPPING,FAT FREE",370.0,40.0,40.0,5.0,1150.0,0.0,3.7,10.810810781592403,10.810810781592403,1.3513513476990504,0.0
"CHEESE,CREAM,FAT FREE",105.0,15.69,7.66,1.0,702.0,0.0,1.05,14.942857000544219,7.295238025759638,0.9523809433106578,0.0
"YOGURT,CHOC,NONFAT MILK",112.0,3.53,23.53,0.0,135.0,0.0,1.12,3.151785686144771,21.008928383848854,0.0,0.0
KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,276.0,12.0,9.2,21.0,1638.0,0.0,2.76,4.347826071203529,3.3333333212560388,7.608695624606175,0.0
KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,215.0,16.3,16.2,9.5,1705.0,0.0,2.15,7.581395313574905,7.534883685884261,4.418604630611141,0.0
